Round,ezdos,eztcs,ab2btl1,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl11,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl11,ab22btl12,ab22btl17,ab22btl18,ab22btl19,ab22btl05,ab22btl08,ab22btl11,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl12,ab22btl14,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl07,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf11,bash3ctf3,bash3ctf1,bash3ctf12,bash3ctf1,bash3ctf2,bash3ctf3,ab22ctf01,ab22ctf02,ab22ctf03,ab5ctf1,ab22ctf06,ab22ctf07,ab22ctf09,ab22ctf15,ab22ctf16,ab22CTF17,ab22CTF18,ab22CTF19,ab22CTF20,ab22ctf02,ab22ctf07,ab22ctf08,ab22ctf10,ab22ctf11,ab22ctf08,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf04,ab22ctf05,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl20,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl10,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl02,ab22btl03,ab22btl04,ab22btl05,ab22btl06,ab22btl07,ab22btl08,ab22btl09,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22btl15,ab22btl16,ab22btl17,ab22btl18,ab22btl19,ab22btl20,ab22btl01,ab22btl03,ab22btl11,ab22btl02,ab22btl03,ab22btl08,ab22btl10,ab22btl11,ab22btl12,ab22btl13,ab22btl14,ab22ctf02,ab22ctf02,ab22ctf03,ab22ctf15,ab22ctf17,ab22ctf18,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf01,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf10,ab22ctf11,ab22ctf12,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,gw,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf17,ab22ctf18,ab22ctf19,ab22ctf20,ab22ctf01,ab22ctf02,ab22ctf03,ab22ctf04,ab22ctf05,ab22ctf06,ab22ctf07,ab22ctf08,ab22ctf09,ab22ctf11,ab22ctf12,ab22ctf13,ab22ctf14,ab22ctf15,ab22ctf16,ab22ctf03,ezastro,eztcs,ezdaybreak,ezdaybreak,ab2ctf14,olcjunge,ezdaybreak,ezmoon,ezmoon,mlynepitome,mlynepitome,ezdos,ezdos,ezastro,ezastro,evilmike211,evilmike211,sebow,xlmfishing,olcmdvl,ab22ctf01,techtree,pinball2k15,olcpitctf,ab22ctf19,2upsbreach2,am,2updnc,hellwarp,ezmaelstrom,snxus02,ab16btl08,ab22btl08,ab16btl03,ab22btl17,survivor20,ab21btl19,eztundra,ab21btl13,sc2aend,survivor10,survivor24,mingfpack12,survivor06,mingfpack6,survivor13,survivor23,mingfpack11,xlmff11,survivor08,survivor29,mlsurv08,survivor27,mingfpack3,survivor17,mingfpack2,survivor09,mingfpack1,survivor25,xlmff04,survivor19,survivor02,survivor20,mingfpack25,mingfpack5,survivor16,survivor12,mingfpack15,survivor07,survivor21,mingfpack9,survivor04,survivor22,mingfpack34,survivor03,survivor30,survivor28,survivor28,Total
LoonCC,,,,,,0,1,2,1,15,1,4,2,8,13,1,3,15,,,,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,4,5,,,,,,,,4,5,,,,,,,,,,,,,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,,,,,,,,,,,,,,,,,,,,,,4,1,5,5,,,,,,,,,,,,1,9,10,2,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,16,,,,,,,,,,,,,,7,29,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8518
[RO]By,,,0,3,0,,,,1,0,0,8,7,4,9,,6,9,6,12,11,7,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,5,7,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5,1,5,3,5,1,0,1,0,,,,,,,,,,,,1,5,1,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,10,,,,,,9,0,8,4,7,,,,,,,,,,,,,150,0,,,,,,0,,145,10,145,276,48,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,,,,5,4,,11,,1,,,,,,,,,1,,0,0,1,2,3,0,,,,,2,27,,,,,,,,6,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1259
$tíjn[TF],,,1,2,6,,,,,1,0,,,,,,,,,,,0,5,1,0,0,4,1,4,8,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,4,5,2,,,,,,,,,,,,,,,,,1,2,5,,,0,,,,,,,0,,,,,,,,,,,0,0,4,0,3,2,,,,2,0,0,0,2,0,1,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,5,5,,0,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,26,145,0,95,0,73,122,76,,,,,,,,,,,,0,,10,15,6,,3,5,,,3,0,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,18,,,,,,6,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7154
cooba[si],,,0,0,0,0,0,0,1,2,2,4,0,2,0,2,0,4,9,12,4,7,2,17,5,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,21,9,11,,,,,,,,9,14,,,,,0,,,,12,1,,,4,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,12,0,3,7,2,7,3,3,5,3,65,0,43,,11,5,10,5,77,36,0,52,0,56,239,0,339,19,40,12,25,26,110,45,6,10,177,157,165,5,58,115,11,96,52,123,30,11,47,6,57,25,26,161,194,127,122,0,0,118,105,22.679
Zero[CDF],,,,,2,3,4,7,2,4,0,3,0,2,1,1,9,,,,,,,,,,,,,,1,,,0,0,5,,12,1,3,7,4,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,11,5,,,,,,,,,,,145,37,,48,106,44,51,0,,,,,,,,,,,,,,,,,,,,,,,3,18,6,5,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,,,,,,,,22,22,260,22,,,6,119,110,28,155,116,91,6,48,160,96,127,45,15,38,16,55,152,115,235,83,23,13,332,17,17,66,48,0,167,160,136,34,107,40,83,17,53,32,20.4314
ShakerNL,,,,,0,0,2,5,6,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,5,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,,,,0,7,,,,0,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,,,,0,0,3,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,2,,4,3,,,68,,,,67,115,90,43,28,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,6,,,20.3608
>Shamiko<,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,5,3,5,0,0,1,,,,0,,,,,,0,1,0,3,2,4,1,1,0,2,5,0,3,0,1,0,0,0,,3,1,0,5,1,3,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,5,5,3,5,5,5,4,,,,,,,,,,,,,,,0,0,5,2,0,0,0,,,,,,,,,,,1,4,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4673
Dragusela_lol[ITA],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,4,2,,,,,,,5,5,0,,,,,,,,,,,,0,1,0,0,5,,,,,,,,,,,1,9,5,3,10,5,6,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,1,0,1,3,0,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,0,5,0,2,2,27,,,,,0,15,3,,,,,,,,42,38,1,10,,,,,,,,,,,4,19,9,26,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9566
555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,1,5,3,6,0,1,1,5,3,0,,2,5,3,0,0,5,5,0,0,2,0,3,5,4,3,5,2,3,1,0,5,5,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,2,5,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,184,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5867
Stefko[CDF],,,,,,8,3,12,10,14,1,20,,,,,,4,10,12,19,16,11,23,24,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2509
Dennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,3,7,0,14,4,6,3,3,6,2,1,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,1,1,2,0,,,,,,,,,,1,4,4,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,4,3,5,2,,0,3,5,0,,1,3,5,,,,,,,,,,,,,,0,5,5,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,134,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9423
WarrenCx,,,,1,10,8,4,12,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,3,0,4,3,0,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,37,28,,,,,,,,,,,,,,,,,,,,,,,2,3,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7838
italian spiderdemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,3,0,0,1,4,0,,5,5,,,,,,5,3,0,4,,,,,,3,2,0,0,,2,0,1,0,0,,,0,2,1,3,1,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,1,0,0,0,0,0,1,4,0,0,0,0,,,,,0,0,5,,,,,,,,1,5,3,1,7,2,2,0,0,,,0,1,,,,,,,5,4,0,,,,,0,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6352
[RO]Monster,,,,0,1,3,1,3,4,7,2,4,6,2,3,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,1,3,5,0,5,2,1,0,0,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1313
GustafCC,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,,0,1,,,1,5,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,5,5,5,0,5,5,5,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7852
Slaz-CDF-,,,,4,4,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,2,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,0,2,2,5,5,3,5,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,3,4,0,6,0,0,1,0,9,7,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7648
-t3>SJ,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,10,,,3,1,,,,,,,,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,5,10,6,5,,,,3,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,31,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,5,7,,,,,,,,2,147,75,453,177,215,190,35,51,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7365
